suburb,origin_quarter,horizon,actual,naive,seasonal_naive,sarima,prophet
ZETLAND,2024-07-01,1,5.4345103931880745,-22.194076383476222,5.242718446601935,5.782298827675087,-5.85132496426945
ZETLAND,2024-07-01,2,-10.688836104513069,-22.194076383476222,5.242718446601935,5.761266999177081,-2.9369945643515067
ZETLAND,2024-07-01,3,-4.521276595744683,-22.194076383476222,5.242718446601935,0.6185638877778082,1.0747583060450037
ZETLAND,2024-07-01,4,12.534818941504188,-22.194076383476222,5.242718446601935,-5.751363290515155,-0.05693257830546039
ZETLAND,2025-04-01,1,12.534818941504188,-4.521276595744683,-22.194076383476222,2.802719091985523,-0.2645728751898174
ZETLAND,2025-04-01,2,2.623762376237626,-4.521276595744683,-22.194076383476222,3.198296318454171,-1.2159902446381834
ZETLAND,2025-04-01,3,5.258080077182825,-4.521276595744683,-22.194076383476222,-1.156087451337511,-3.8243297301659798
ZETLAND,2025-04-01,4,-4.674610449129235,-4.521276595744683,-22.194076383476222,-0.5568077272550896,5.6334387486490725
ARMIDALE,2020-07-01,1,-5.000000000000004,17.829457364341096,6.000000000000005,-20.315633095596915,14.676770335375117
ARMIDALE,2020-07-01,2,5.263157894736836,17.829457364341096,6.000000000000005,12.460138063327705,-10.803016391928711
ARMIDALE,2020-07-01,3,-1.0526315789473717,17.829457364341096,6.000000000000005,-9.414294878258202,-2.4486157983838313
ARMIDALE,2020-07-01,4,6.382978723404253,17.829457364341096,6.000000000000005,10.947071875013169,-0.21683761373259092
ARMIDALE,2021-04-01,1,6.382978723404253,-1.0526315789473717,17.829457364341096,-3.301686696002485,-0.35464166435775724
ARMIDALE,2021-04-01,2,5.000000000000004,-1.0526315789473717,17.829457364341096,0.7968173798962336,5.651753294841102
ARMIDALE,2021-04-01,3,10.416666666666677,-1.0526315789473717,17.829457364341096,-0.7322932233719411,-3.5780640649275215
ARMIDALE,2021-04-01,4,3.719676549865225,-1.0526315789473717,17.829457364341096,0.1454241665263641,-4.081089943363635
ARMIDALE,2022-01-01,1,3.719676549865225,10.416666666666677,-1.0526315789473717,-5.297453209372897,-2.283642270565304
ARMIDALE,2022-01-01,2,-0.2079002079002023,10.416666666666677,-1.0526315789473717,3.8721731896715017,-0.05319211933525736
ARMIDALE,2022-01-01,3,10.83333333333334,10.416666666666677,-1.0526315789473717,0.08018337217443137,5.397355988848192
ARMIDALE,2022-01-01,4,-6.015037593984962,10.416666666666677,-1.0526315789473717,2.9829609091491798,1.3429591098219333
ARMIDALE,2022-10-01,1,-6.015037593984962,10.83333333333334,10.416666666666677,-1.1853611538614053,2.2492754816519334
ARMIDALE,2022-10-01,2,-6.000000000000005,10.83333333333334,10.416666666666677,3.441149748295428,-1.4812565234863868
ARMIDALE,2022-10-01,3,-4.255319148936165,10.83333333333334,10.416666666666677,-1.2642216955911607,-0.9647603063360233
ARMIDALE,2022-10-01,4,3.333333333333344,10.83333333333334,10.416666666666677,3.9625619352101404,5.544120447996219
ARMIDALE,2023-07-01,1,3.333333333333344,-4.255319148936165,10.83333333333334,2.3341269473812822,4.345206326368189
ARMIDALE,2023-07-01,2,0.4301075268817289,-4.255319148936165,10.83333333333334,-1.138702251918722,1.6032254913753459
ARMIDALE,2023-07-01,3,2.783725910064238,-4.255319148936165,10.83333333333334,-0.3991535688025231,-0.18817054232839503
ARMIDALE,2023-07-01,4,3.125,-4.255319148936165,10.83333333333334,-0.5332604104671779,3.359780141376554
ARMIDALE,2024-04-01,1,3.125,2.783725910064238,-4.255319148936165,-1.3591025648097468,3.3992861439017776
ARMIDALE,2024-04-01,2,-2.5252525252525304,2.783725910064238,-4.255319148936165,0.6795197818544877,7.99355537244997
ARMIDALE,2024-04-01,3,10.362694300518127,2.783725910064238,-4.255319148936165,-0.13600546113569806,-2.6064708565379853
ARMIDALE,2024-04-01,4,-5.164319248826288,2.783725910064238,-4.255319148936165,0.2883491299979201,-0.9053979015830933
ARMIDALE,2025-01-01,1,-5.164319248826288,10.362694300518127,2.783725910064238,-3.2974794834937167,-0.7694004846761011
ARMIDALE,2025-01-01,2,7.425742574257432,10.362694300518127,2.783725910064238,1.7232570276326145,1.194124824074498
ARMIDALE,2025-01-01,3,9.603686635944708,10.362694300518127,2.783725910064238,-0.8232944554162647,5.485166115728326
ARMIDALE,2025-01-01,4,5.112680793810975,10.362694300518127,2.783725910064238,1.024366801934188,0.2424253144564048
FORSTER,2020-10-01,1,15.312499999999996,-7.692307692307687,3.018500486854925,3.2100942625811135,4.2024399180492065
FORSTER,2020-10-01,2,11.562782294489615,-7.692307692307687,3.018500486854925,-0.8950577042681864,-3.2384958919582294
FORSTER,2020-10-01,3,4.048582995951411,-7.692307692307687,3.018500486854925,1.190948607015684,0.1473435990635572
FORSTER,2020-10-01,4,7.78210116731517,-7.692307692307687,3.018500486854925,-1.6476748003944015,-3.229978539808743
FORSTER,2021-07-01,1,7.78210116731517,4.048582995951411,-7.692307692307687,-1.3653198465620198,-0.7566239896710778
FORSTER,2021-07-01,2,11.263537906137188,4.048582995951411,-7.692307692307687,1.5671316461782494,8.891526771367124
FORSTER,2021-07-01,3,-0.3893575600259602,4.048582995951411,-7.692307692307687,0.02833907698649665,1.1835166642906152
FORSTER,2021-07-01,4,-13.68078175895765,4.048582995951411,-7.692307692307687,0.6785546949049935,3.484120535825092
FORSTER,2022-04-01,1,-13.68078175895765,-0.3893575600259602,4.048582995951411,2.4954937871554503,4.231121002530926
FORSTER,2022-04-01,2,3.773584905660377,-0.3893575600259602,4.048582995951411,2.5828509850945727,2.419142434802945
FORSTER,2022-04-01,3,5.563636363636371,-0.3893575600259602,4.048582995951411,2.662885855693119,8.656244642387616
FORSTER,2022-04-01,4,1.96348604891492,-0.3893575600259602,4.048582995951411,2.2877738327044423,1.8294952728779013
FORSTER,2023-01-01,1,1.96348604891492,5.563636363636371,-0.3893575600259602,-0.11195733789892473,0.040949018932806
FORSTER,2023-01-01,2,-5.405405405405405,5.563636363636371,-0.3893575600259602,-1.9117848879980457,0.25083829593231555
FORSTER,2023-01-01,3,2.57142857142858,5.563636363636371,-0.3893575600259602,0.4938479349445126,2.2508569268002123
FORSTER,2023-01-01,4,-6.33704735376045,5.563636363636371,-0.3893575600259602,0.7477673386891422,5.116063745927541
FORSTER,2023-10-01,1,-6.33704735376045,2.57142857142858,5.563636363636371,0.8913114251651972,4.848287998012909
FORSTER,2023-10-01,2,13.605947955390342,2.57142857142858,5.563636363636371,0.5965220754646124,0.250831910460255
FORSTER,2023-10-01,3,-13.61256544502618,2.57142857142858,5.563636363636371,-1.259111740235368,1.3704427133891088
FORSTER,2023-10-01,4,6.060606060606055,2.57142857142858,5.563636363636371,0.6145068098860683,-1.0389377384749146
FORSTER,2024-07-01,1,6.060606060606055,-13.61256544502618,2.57142857142858,4.901531969558621,-1.8242161768611094
FORSTER,2024-07-01,2,4.285714285714293,-13.61256544502618,2.57142857142858,-4.518152531199003,9.936162113766164
FORSTER,2024-07-01,3,0.3424657534246478,-13.61256544502618,2.57142857142858,5.084217150279506,1.4590940136369008
FORSTER,2024-07-01,4,3.412969283276457,-13.61256544502618,2.57142857142858,-4.464886315279572,-2.542056572728682
FORSTER,2025-04-01,1,3.412969283276457,0.3424657534246478,-13.61256544502618,-2.1215767093327145,-2.596702717760862
FORSTER,2025-04-01,2,-3.63036303630363,0.3424657534246478,-13.61256544502618,1.0520175295428322,0.17440793902855
FORSTER,2025-04-01,3,14.383561643835607,0.3424657534246478,-13.61256544502618,0.7754305676486838,6.102141323950553
FORSTER,2025-04-01,4,-0.5988023952095856,0.3424657534246478,-13.61256544502618,0.06108462662543717,-0.30526768172814966
WYONG,2020-10-01,1,-15.555555555555555,25.0,-28.63070539419087,-24.180909005547086,1.5616945009852685
WYONG,2020-10-01,2,17.105263157894733,25.0,-28.63070539419087,7.653425100313464,16.756954198469682
WYONG,2020-10-01,3,-2.621722846441943,25.0,-28.63070539419087,0.44430452191431336,2.8059134891811954
WYONG,2020-10-01,4,2.684615384615374,25.0,-28.63070539419087,10.738353401721938,13.642929662522976
WYONG,2021-07-01,1,2.684615384615374,-2.621722846441943,25.0,8.701737765967037,11.784107254858002
WYONG,2021-07-01,2,11.993407745898566,-2.621722846441943,25.0,-6.835291249720625,-7.4449379369929
WYONG,2021-07-01,3,-1.0033444816053505,-2.621722846441943,25.0,7.1673234263151855,15.739691499690027
WYONG,2021-07-01,4,-4.898648648648651,-2.621722846441943,25.0,-1.1114588676224677,2.588964214366678
WYONG,2022-04-01,1,-4.898648648648651,-1.0033444816053505,-2.621722846441943,-1.5226770846652498,2.0470127531121385
WYONG,2022-04-01,2,-13.53463587921847,-1.0033444816053505,-2.621722846441943,0.9692688861307918,14.906354149838606
WYONG,2022-04-01,3,8.13475760065736,-1.0033444816053505,-2.621722846441943,4.567439424509125,-7.977013294948144
WYONG,2022-04-01,4,-4.255319148936165,-1.0033444816053505,-2.621722846441943,-0.3831635585235884,12.645979778277038
WYONG,2023-01-01,1,-4.255319148936165,8.13475760065736,-1.0033444816053505,2.2193311381207006,11.093402109103717
WYONG,2023-01-01,2,13.888888888888884,8.13475760065736,-1.0033444816053505,-1.3551063443931228,1.1173775480729349
WYONG,2023-01-01,3,-7.317073170731703,8.13475760065736,-1.0033444816053505,-4.7849658893947185,13.365420831784093
WYONG,2023-01-01,4,24.812030075187973,8.13475760065736,-1.0033444816053505,2.9226044103622484,-9.56614275702765
WYONG,2023-10-01,1,24.812030075187973,-7.317073170731703,8.13475760065736,0.98625839376129,-10.898025407398825
WYONG,2023-10-01,2,-15.06024096385542,-7.317073170731703,8.13475760065736,-1.7997997477185772,13.899498857965241
WYONG,2023-10-01,3,-19.50354609929078,-7.317073170731703,8.13475760065736,4.816474945157377,-4.307775897997315
WYONG,2023-10-01,4,48.01762114537445,-7.317073170731703,8.13475760065736,-2.5727882464170726,4.854443462694565
WYONG,2024-07-01,1,48.01762114537445,-19.50354609929078,-7.317073170731703,7.450823778115164,3.9329575123476443
WYONG,2024-07-01,2,-7.14285714285714,-19.50354609929078,-7.317073170731703,10.5941069676228,-7.7930109922423485
WYONG,2024-07-01,3,10.256410256410264,-19.50354609929078,-7.317073170731703,-4.646681372438105,6.299127092263424
WYONG,2024-07-01,4,-9.302325581395356,-19.50354609929078,-7.317073170731703,-6.524842280263138,-4.963311439868958
WYONG,2025-04-01,1,-9.302325581395356,10.256410256410264,-19.50354609929078,-14.877356507394827,-2.4525701897296486
WYONG,2025-04-01,2,-3.205128205128205,10.256410256410264,-19.50354609929078,14.519494705044616,13.390980035718147
WYONG,2025-04-01,3,4.70860927152319,10.256410256410264,-19.50354609929078,-2.1434671056205357,-3.496613219430298
WYONG,2025-04-01,4,18.27208905192588,10.256410256410264,-19.50354609929078,3.0754918807911036,9.726878617922162
ALBION PARK,2020-10-01,1,0.4149377593360981,6.63716814159292,6.837606837606836,5.308724251415287,2.0280992746620305
ALBION PARK,2020-10-01,2,12.396694214876035,6.63716814159292,6.837606837606836,-2.6114423500010107,0.5009536106299026
ALBION PARK,2020-10-01,3,6.25,6.63716814159292,6.837606837606836,-2.8516252956064885,-4.63502336775649
ALBION PARK,2020-10-01,4,4.498269896193774,6.63716814159292,6.837606837606836,3.382616248894614,1.0079595611113272
ALBION PARK,2021-07-01,1,4.498269896193774,6.25,6.63716814159292,3.0209158157127343,2.768719392292916
