suburb,region,origin_idx,horizon,actual,prophet
CHATSWOOD,sydney,46,1,-5.590062111801242,-0.9844924155944446
CHATSWOOD,sydney,46,2,-5.427631578947367,5.08370939880308
CHATSWOOD,sydney,46,3,23.1304347826087,3.7570718382360537
CHATSWOOD,sydney,46,4,5.36723163841808,-0.3383519624011173
WOOLLAHRA,sydney,28,1,-3.3333333333333326,-9.933425836005178
WOOLLAHRA,sydney,28,2,20.8128078817734,-1.1764228056498354
WOOLLAHRA,sydney,28,3,6.014271151885842,-4.158537887203015
WOOLLAHRA,sydney,28,4,46.15384615384615,2.4802392957781834
WOOLLAHRA,sydney,34,1,-25.70422535211268,11.539720672542021
WOOLLAHRA,sydney,34,2,9.478672985782,14.383919089197661
WOOLLAHRA,sydney,34,3,-1.2987012987012991,10.385510025565937
WOOLLAHRA,sydney,34,4,-25.6140350877193,-0.42005397005138323
WOOLLAHRA,sydney,40,1,-46.79496970622677,15.599245008014481
WOOLLAHRA,sydney,40,2,-4.30622009569378,18.597067969071716
WOOLLAHRA,sydney,40,3,24.125,-8.059713954713336
WOOLLAHRA,sydney,40,4,8.257804632426978,12.309475736943414
WOOLLAHRA,sydney,46,1,-32.10144927536231,3.565793422946308
WOOLLAHRA,sydney,46,2,-10.151632870864455,13.279916537033083
WOOLLAHRA,sydney,46,3,52.04081535688256,0.17303698181445082
WOOLLAHRA,sydney,46,4,-10.9375,-0.7359696086180634
WAHROONGA,sydney,28,1,-2.027777777777773,50.157031654954764
WAHROONGA,sydney,28,2,19.08137227105189,7.7158205362780095
WAHROONGA,sydney,28,3,10.71428571428572,4.30032655948002
WAHROONGA,sydney,28,4,0.8602150537634357,-4.956277196274094
WAHROONGA,sydney,34,1,-6.770255271920089,9.32424569815544
WAHROONGA,sydney,34,2,11.904761904761909,0.8033886125971854
WAHROONGA,sydney,34,3,-16.808510638297868,-0.6569762285517307
WAHROONGA,sydney,34,4,-1.7902813299232712,-5.871384900541354
WAHROONGA,sydney,40,1,-6.122448979591832,-17.998751911420047
WAHROONGA,sydney,40,2,17.391304347826097,7.071131428134212
WAHROONGA,sydney,40,3,-14.509259259259256,-8.662722492248832
WAHROONGA,sydney,40,4,-7.289071807646485,-16.431920998116045
WAHROONGA,sydney,46,1,19.02272727272727,-2.518578981295356
WAHROONGA,sydney,46,2,-4.525491693717775,-7.657353535384459
WAHROONGA,sydney,46,3,6.000000000000005,7.843127595797355
WAHROONGA,sydney,46,4,-17.54716981132075,-2.9822478208711978
NORTH STRATHFIELD,sydney,28,1,2.499999999999991,2.2656597232231483
NORTH STRATHFIELD,sydney,28,2,20.500000000000007,-7.1626281339985685
NORTH STRATHFIELD,sydney,28,3,-19.08713692946058,5.282093080673345
NORTH STRATHFIELD,sydney,28,4,-22.05128205128205,-11.069607285487145
NORTH STRATHFIELD,sydney,34,1,3.713188220230479,4.293805023934832
NORTH STRATHFIELD,sydney,34,2,129.62962962962962,-9.23662876599247
NORTH STRATHFIELD,sydney,34,3,-56.98924731182795,-9.670737566011312
NORTH STRATHFIELD,sydney,34,4,7.624999999999993,-9.748958464425556
NORTH STRATHFIELD,sydney,40,1,0.3596127247579517,-1.7874209554796403
NORTH STRATHFIELD,sydney,40,2,4.740904079382591,-0.6812653169535074
NORTH STRATHFIELD,sydney,40,3,11.05263157894736,4.711447241985816
NORTH STRATHFIELD,sydney,40,4,11.42180094786729,11.72225607511087
CARLINGFORD,sydney,28,1,-5.365514846327491,-3.5565660540529356
CARLINGFORD,sydney,28,2,-27.183486238532105,3.5972952410759786
CARLINGFORD,sydney,28,3,3.313594557137467,-12.680784848845517
CARLINGFORD,sydney,28,4,7.012195121951215,21.22681939791059
CARLINGFORD,sydney,34,1,4.347826086956519,-9.172830996179398
CARLINGFORD,sydney,34,2,8.333333333333325,10.906440877273607
CARLINGFORD,sydney,34,3,7.461538461538453,13.346629736116245
CARLINGFORD,sydney,34,4,-21.617752326413743,4.779485782203978
CARLINGFORD,sydney,40,1,-32.2265625,21.819506890219298
CARLINGFORD,sydney,40,2,-10.086455331412104,1.753610404065399
CARLINGFORD,sydney,40,3,5.128205128205132,-9.395325006200318
CARLINGFORD,sydney,40,4,14.634146341463406,24.41034077696381
CARLINGFORD,sydney,46,1,41.05642256902762,-10.168967201670123
CARLINGFORD,sydney,46,2,9.399489361702118,15.420571364595848
CARLINGFORD,sydney,46,3,5.022077974614225,1.71735043066999
CARLINGFORD,sydney,46,4,-38.11111111111111,-6.0357710784555545
LEWISHAM,sydney,28,1,12.8158844765343,0.16401238662437878
LEWISHAM,sydney,28,2,-7.9999999999999964,-7.234036824290046
LEWISHAM,sydney,28,3,-16.30434782608695,11.416564508172733
LEWISHAM,sydney,28,4,118.44155844155844,1.4381346916005433
LEWISHAM,sydney,34,1,-39.1566265060241,2.5248929984734887
LEWISHAM,sydney,34,2,10.8910891089109,28.543745466112064
LEWISHAM,sydney,34,3,-12.790178571428568,-15.149126948679413
LEWISHAM,sydney,34,4,-4.274379319170718,39.25253167520757
LEWISHAM,sydney,40,1,-9.062499999999996,7.3710109640153725
LEWISHAM,sydney,40,2,3.092783505154628,-22.792060648003023
LEWISHAM,sydney,40,3,7.72222222222223,10.934629974978764
LEWISHAM,sydney,40,4,23.388344507478088,17.549548634803102
THIRLMERE,sydney,28,1,6.666666666666665,16.766310384570005
THIRLMERE,sydney,28,2,9.375,-2.7568998308343886
THIRLMERE,sydney,28,3,7.873015873015876,6.422479172046234
THIRLMERE,sydney,28,4,7.4749852854620435,5.911858337387493
