suburb,region,origin_idx,horizon,actual,prophet
GLADESVILLE,sydney,40,1,-3.9436619718309807,31.997428761599068
GLADESVILLE,sydney,40,2,-39.88269794721408,-11.579769519964454
GLADESVILLE,sydney,40,3,93.29268292682926,-9.989625239885807
GLADESVILLE,sydney,40,4,-21.13564668769716,27.62061806960675
GLADESVILLE,sydney,46,1,24.462365591397848,13.623420653448324
GLADESVILLE,sydney,46,2,-11.01511879049676,9.164650987407022
GLADESVILLE,sydney,46,3,15.048543689320384,-1.9459069237277529
GLADESVILLE,sydney,46,4,-11.392405063291145,-1.0025512525981632
ARTARMON,sydney,28,1,-4.90654205607477,-8.832699576705044
ARTARMON,sydney,28,2,14.250614250614246,5.6829672183803
ARTARMON,sydney,28,3,-10.537634408602148,1.4619769452630482
ARTARMON,sydney,28,4,51.20192307692308,6.774631299820225
ARTARMON,sydney,34,1,-7.023809523809521,0.6937233798227425
ARTARMON,sydney,34,2,2.94494238156211,12.144978434187959
ARTARMON,sydney,34,3,-2.487562189054726,-6.507018543725357
ARTARMON,sydney,34,4,14.79591836734695,11.171715786711465
ARTARMON,sydney,40,1,3.4352941176470697,-4.844625246953031
ARTARMON,sydney,40,2,-3.5486806187443154,0.7208730465400652
ARTARMON,sydney,40,3,13.207547169811315,-3.8857853191569465
ARTARMON,sydney,40,4,15.575000000000006,14.677896922644747
ARTARMON,sydney,46,1,-12.252964426877464,1.4016992674903435
ARTARMON,sydney,46,2,8.108108108108114,12.10144135892874
ARTARMON,sydney,46,3,-1.624999999999999,-7.332878490058718
ARTARMON,sydney,46,4,1.016518424396451,7.806917503753613
HABERFIELD,sydney,28,1,25.044237348118447,3.985445056059125
HABERFIELD,sydney,28,2,15.84905660377358,0.6783899831220545
HABERFIELD,sydney,28,3,-22.71986970684039,2.161689530533284
HABERFIELD,sydney,28,4,21.390937829294,9.216675042071708
HABERFIELD,sydney,34,1,-10.034726595534128,16.11101044478973
HABERFIELD,sydney,34,2,10.000000000000009,7.744188708871073
HABERFIELD,sydney,34,3,-13.636363636363637,0.09800684242141422
HABERFIELD,sydney,34,4,35.78947368421053,16.98054643065697
HABERFIELD,sydney,40,1,-29.07322345312078,24.092362561393898
HABERFIELD,sydney,40,2,21.14285714285716,-3.8852402144860445
HABERFIELD,sydney,40,3,-9.984276729559747,20.293403340804158
HABERFIELD,sydney,40,4,-23.14410480349345,17.905330578620507
BELLA VISTA,sydney,28,1,9.03225806451613,-1.5932704782947094
BELLA VISTA,sydney,28,2,13.905325443786976,-8.081715166630003
BELLA VISTA,sydney,28,3,16.883116883116877,2.247129303779012
BELLA VISTA,sydney,28,4,-4.31111111111111,1.9313828760875644
BELLA VISTA,sydney,34,1,3.132530120481936,1.1196780475498491
BELLA VISTA,sydney,34,2,-16.764018691588788,3.5712872223477587
BELLA VISTA,sydney,34,3,26.116154385964908,4.954479685038378
BELLA VISTA,sydney,34,4,-18.98306835158144,6.239337637633902
BELLA VISTA,sydney,40,1,11.581597619592587,9.81461101918321
BELLA VISTA,sydney,40,2,-2.358974358974364,-5.352958158061249
BELLA VISTA,sydney,40,3,-23.109243697478988,11.749488415343897
BELLA VISTA,sydney,40,4,13.688524590163942,0.17107191482748263
