suburb,region,origin_idx,horizon,actual,naive,seasonal_naive,sarima
GRANVILLE,sydney,44,2,-10.169491525423725,11.534883720930234,1.3304506901713031,-0.8880385347140358
GRANVILLE,sydney,44,3,0.7547169811320753,11.534883720930234,1.3304506901713031,-1.2383670422716662
GRANVILLE,sydney,44,4,23.12734082397004,11.534883720930234,1.3304506901713031,1.147687713499902
GREEN POINT,rest_nsw,28,1,11.186903137789894,2.7359580758802515,26.81818181818181,29.371576672347917
GREEN POINT,rest_nsw,28,2,81.47368421052632,2.7359580758802515,26.81818181818181,31.82188028603993
GREEN POINT,rest_nsw,28,3,29.98839907192576,2.7359580758802515,26.81818181818181,26.277039555771573
GREEN POINT,rest_nsw,28,4,71.42857142857142,2.7359580758802515,26.81818181818181,31.017066069756854
GREEN POINT,rest_nsw,32,1,131.26142595978064,71.42857142857142,11.186903137789894,42.05455973222084
GREEN POINT,rest_nsw,32,2,73.18840579710144,71.42857142857142,11.186903137789894,31.54823286459456
GREEN POINT,rest_nsw,32,3,-5.648535564853551,71.42857142857142,11.186903137789894,39.911294329539935
GREEN POINT,rest_nsw,32,4,8.974358974358964,71.42857142857142,11.186903137789894,33.880880662606394
GREEN POINT,rest_nsw,36,1,59.09090909090908,8.974358974358964,131.26142595978064,28.367311309559152
GREEN POINT,rest_nsw,36,2,3.23809523809524,8.974358974358964,131.26142595978064,39.36105842775955
GREEN POINT,rest_nsw,36,3,68.75,8.974358974358964,131.26142595978064,54.055900321935376
GREEN POINT,rest_nsw,36,4,73.91304347826086,8.974358974358964,131.26142595978064,52.139223579802
GREEN POINT,rest_nsw,40,1,-8.333333333333337,73.91304347826086,59.09090909090908,47.880091714404486
GREEN POINT,rest_nsw,40,2,40.37267080745342,73.91304347826086,59.09090909090908,58.74116796786522
GREEN POINT,rest_nsw,40,3,47.24806176736087,73.91304347826086,59.09090909090908,48.029947353902536
GREEN POINT,rest_nsw,40,4,6.521739130434789,73.91304347826086,59.09090909090908,48.06784601551473
GREEN POINT,rest_nsw,44,1,-5.91836734693878,6.521739130434789,-8.333333333333337,50.976029061845374
GREEN POINT,rest_nsw,44,2,69.46969696969695,6.521739130434789,-8.333333333333337,42.328617870415464
GREEN POINT,rest_nsw,44,3,13.544926240500676,6.521739130434789,-8.333333333333337,41.40608928013974
GREEN POINT,rest_nsw,44,4,0.3937007874015741,6.521739130434789,-8.333333333333337,49.27388139390943
GREEN VALLEY,sydney,28,1,7.246376811594213,-7.9999999999999964,2.315935015554782,3.7748002329789263
GREEN VALLEY,sydney,28,2,4.86486486486486,-7.9999999999999964,2.315935015554782,-4.632057240884977
GREEN VALLEY,sydney,28,3,15.97938144329898,-7.9999999999999964,2.315935015554782,5.429809256956034
GREEN VALLEY,sydney,28,4,-2.777777777777779,-7.9999999999999964,2.315935015554782,-3.3527814264984475
GREEN VALLEY,sydney,32,1,8.285714285714295,-2.777777777777779,7.246376811594213,1.2752209944707218
GREEN VALLEY,sydney,32,2,-8.179419525065967,-2.777777777777779,7.246376811594213,1.0834394748555152
GREEN VALLEY,sydney,32,3,5.172413793103448,-2.777777777777779,7.246376811594213,3.3813022134002253
GREEN VALLEY,sydney,32,4,-10.710382513661198,-2.777777777777779,7.246376811594213,-0.5875875686910591
GREEN VALLEY,sydney,36,1,21.4810281517748,-10.710382513661198,8.285714285714295,4.862722413033667
GREEN VALLEY,sydney,36,2,-8.816120906801006,-10.710382513661198,8.285714285714295,-2.8032983505243303
GREEN VALLEY,sydney,36,3,4.419889502762442,-10.710382513661198,8.285714285714295,1.4623713172449517
GREEN VALLEY,sydney,36,4,-1.5873015873015928,-10.710382513661198,8.285714285714295,-1.9050789077847046
GREEN VALLEY,sydney,40,1,9.6774193548387,-1.5873015873015928,21.4810281517748,4.143474498142363
GREEN VALLEY,sydney,40,2,-5.882352941176472,-1.5873015873015928,21.4810281517748,-1.6954164986879217
GREEN VALLEY,sydney,40,3,22.65625,-1.5873015873015928,21.4810281517748,0.8574990339778571
GREEN VALLEY,sydney,40,4,-12.101910828025474,-1.5873015873015928,21.4810281517748,-0.3046342084883621
GREEN VALLEY,sydney,44,1,10.869565217391308,-12.101910828025474,9.6774193548387,8.163142235104974
GREEN VALLEY,sydney,44,2,-4.052287581699343,-12.101910828025474,9.6774193548387,-4.419961001760803
GREEN VALLEY,sydney,44,3,2.906448683015439,-12.101910828025474,9.6774193548387,6.6782306979331745
GREEN VALLEY,sydney,44,4,8.120035304501316,-12.101910828025474,9.6774193548387,-3.5404026661172776
GREENACRE,sydney,28,1,-19.932432432432435,-0.7821229050279377,5.558690744920991,-0.31227772958160693
GREENACRE,sydney,28,2,43.459915611814345,-0.7821229050279377,5.558690744920991,0.34989179612178545
GREENACRE,sydney,28,3,12.745098039215684,-0.7821229050279377,5.558690744920991,-0.07409796256682992
GREENACRE,sydney,28,4,-8.695652173913048,-0.7821229050279377,5.558690744920991,0.05204122109571583
GREENACRE,sydney,32,1,11.66666666666667,-8.695652173913048,-19.932432432432435,3.101147954044486
GREENACRE,sydney,32,2,5.756929637526653,-8.695652173913048,-19.932432432432435,-12.63022542643364
GREENACRE,sydney,32,3,-3.991935483870968,-8.695652173913048,-19.932432432432435,-3.7164176970905918
GREENACRE,sydney,32,4,-4.661906761864765,-8.695652173913048,-19.932432432432435,2.3104123718714957
GREENACRE,sydney,36,1,-0.4405286343612369,-4.661906761864765,11.66666666666667,0.2957417599459489
GREENACRE,sydney,36,2,-3.7168141592920367,-4.661906761864765,11.66666666666667,-0.39645735708676527
GREENACRE,sydney,36,3,14.200367647058831,-4.661906761864765,11.66666666666667,0.3379415559223405
GREENACRE,sydney,36,4,1.4084507042253502,-4.661906761864765,11.66666666666667,0.3886597935989988
GREENACRE,sydney,40,1,-4.305555555555552,1.4084507042253502,-0.4405286343612369,-1.180844989838413
GREENACRE,sydney,40,2,7.816711590296488,1.4084507042253502,-0.4405286343612369,0.2858068926191231
GREENACRE,sydney,40,3,5.000000000000004,1.4084507042253502,-0.4405286343612369,-1.5092484511799098
GREENACRE,sydney,40,4,-5.128205128205132,1.4084507042253502,-0.4405286343612369,-0.1495803206254525
GREENACRE,sydney,44,1,6.177606177606188,-5.128205128205132,-4.305555555555552,0.9105929465906349
GREENACRE,sydney,44,2,4.181818181818175,-5.128205128205132,-4.305555555555552,-0.631013464032618
GREENACRE,sydney,44,3,-5.759162303664922,-5.128205128205132,-4.305555555555552,-0.4296932389493169
GREENACRE,sydney,44,4,16.296296296296298,-5.128205128205132,-4.305555555555552,0.4453391248885237
GREENWICH,sydney,28,1,57.89473684210527,-4.316546762589923,-9.19647004180214,-0.1335247944144457
GREENWICH,sydney,28,2,33.8095238095238,-4.316546762589923,-9.19647004180214,0.7892939161737267
GREENWICH,sydney,28,3,-70.2846975088968,-4.316546762589923,-9.19647004180214,2.194837082417188
GREENWICH,sydney,28,4,287.7245508982036,-4.316546762589923,-9.19647004180214,0.5522747268200286
GREENWICH,sydney,32,1,-29.343629343629345,287.7245508982036,57.89473684210527,-180.93080761721097
GREENWICH,sydney,32,2,-53.77049180327869,287.7245508982036,57.89473684210527,115.66133659810474
GREENWICH,sydney,32,3,77.7814184397163,287.7245508982036,57.89473684210527,-73.92983457650028
GREENWICH,sydney,32,4,-27.39510387686209,287.7245508982036,57.89473684210527,22.995877625071504
GREENWICH,sydney,36,1,-46.66666666666666,-27.39510387686209,-29.343629343629345,2.482146008413614
